"ID";"solusi_dan_pertanyaan";"bila_benar";"bila_salah";"mulai";"selesai"
"1";"Apakah ada daya listrik masuk ?";"2";"30";"Y";"N"
"30";"Proses ke diagnosis kerusakan power supply.";"0";"0";"N";"Y"
"0";"Maaf Sementara Sistem Belum Dapat Mendiagnosa Masalah Anda.";"0";"0";"N";"Y"
"2";"Apakah muncul tampilan pada layar monitor ?";"3";"4";"Y";"N"
"3";"Muncul Pesan ""NO POWER"" pada monitor ?";"5";"6";"Y";"N"
"5";"Sambungkan power tambahan pada video card.";"0";"0";"N";"Y"
"4";"Monitor Menyala ?";"7";"8";"Y";"N"
"8";"Periksa Sumber Listrik. Pastikan konektor power tertancap pada monitor.";"0";"0";"N";"Y"
"6";"Muncul Pesan ""NO SIGNAL"" Pada Monitor ?";"9";"10";"Y";"N"
"7";"Pengaturan Brightness dan Contrast sudah tepat?";"11";"12";"Y";"N"
"12";"Atur Brightness dan Contrast dengan tepat.";"0";"0";"N";"Y"
"9";"Kabel VGA dalam kondisi baik ?";"13";"14";"Y";"N"
"14";"Periksa ujung konektor VGA.";"0";"0";"N";"Y"
"10";"Stuck (Berhenti) pada layar BIOS ?";"20";"21";"Y";"N"
"21";"Proses ke Diagnosa performa VGA.";"0";"0";"N";"Y"
"11";"Terdengar bunyi ""BEEP"" ?";"15";"16";"Y";"N"
"13";"Apakah monitor sudah ditest ?";"16";"17";"Y";"N"
"17";"Coba monitor di PC lain atau laptop yg normal.";"0";"0";"N";"Y"
"15";"Video Card terpasang dengan baik ?";"18";"19";"Y";"N"
"19";"Lepas dan pasang lagi Video Card.";"0";"0";"N";"Y"
"16";"Kabel VGA Rusak atau bengkok ?";"21";"20";"Y";"N"
"21";"Perbaiki atau ganti kabel VGA.";"0";"0";"N";"Y"
"18";"Ram terpasang dengan baik ?";"16";"31";"Y";"N"
"31";"Lepas dan Pasang lagi RAM.";"0";"0";"N";"Y"
"20";"Apakah ada komponen baru yang dipasang ?";"24";"25";"Y";"N"
"24";"Dapat menyala dengan 1 (satu) Video Card ?";"26";"25";"Y";"N"
"26";"Terjadi Konflik Pada Hardware.";"0";"0";"N";"Y"
"25";"Dapat menyala dengan Video Card baru ?";"32";"33";"Y";"N"
"32";"Ganti dengan Video Card yang baru.";"0";"0";"N";"Y"
"33";"Proses ke Diagnosa kerusakan motherboard";"0";"0";"N";"Y"
